interesting,length,GCcontent,pis,num_gaps,max_gap_length,mean_gap_length,seg_sites_with_gaps,sd_gap_length,number_sites_1_or_more_subst,freq_sites_w_1_obs_bases,freq_sites_w_2_obs_bases,freq_sites_w_3_obs_bases,freq_sites_w_4_obs_bases
0,1560,0.578502164758911,12.5,116,31,9.666666666666666,394,9.393743888483668,359,1166,314,38,7
0,1026,0.43478554846852535,6.92,472,149,27.764705882352942,363,39.056896656936125,183,663,170,13,0
0,1669,0.4105778811026237,4.67,645,473,35.833333333333336,693,110.10115669638695,247,976,232,15,0
0,1699,0.4202964451020048,6.95,366,60,17.428571428571427,443,20.387671344642158,328,1256,297,31,0
0,1766,0.47299271024868617,4.3,198,65,12.375,295,18.095579570712843,242,1471,218,24,0
0,1553,0.42008527610557567,4.38,435,81,31.071428571428573,297,31.85173412913286,172,1256,159,13,0
1,1256,0.43825490429854086,4.3,129,79,21.5,235,29.077482697097423,168,1021,161,7,0
0,1293,0.40459644860480903,7.5,227,110,25.22222222222222,327,35.382826970784066,247,966,228,19,0
0,1680,0.3954481580470063,9.05,882,615,49,942,144.75171440618385,352,738,320,32,0
0,1030,0.32847825843765033,9.61,99,25,6.6,262,7.258492562902734,238,768,212,25,1
0,913,0.43563389039044753,7.89,444,108,18.5,292,29.680911740361523,169,621,145,23,1
0,1141,0.3552182240102145,8.5,404,297,50.5,509,101.62676812730001,226,632,205,20,1
0,1608,0.38523378170803485,11.19,322,124,24.76923076923077,522,34.838087026877744,389,1086,326,60,3
0,880,0.39346283495756873,8.98,238,62,23.8,284,22.448954442368926,206,596,181,22,3
0,1298,0.3835193941764141,5.39,274,105,21.076923076923077,316,31.135353802554683,204,982,179,24,1
0,1373,0.46800891093270564,9.25,237,63,12.473684210526315,389,19.681825855490338,291,984,263,26,2
0,1588,0.3806840547593707,9.07,773,549,51.53333333333333,849,138.4557003246199,376,739,343,33,0
0,1713,0.3763579613014809,2.63,975,696,121.875,832,234.22604314147964,157,881,148,8,1
0,1640,0.48196488064632004,13.66,237,67,19.75,506,24.061002019488264,415,1134,353,56,6
0,1680,0.3890427337506614,5.89,302,68,18.875,417,20.477223119033173,304,1263,279,25,0
0,1413,0.44098730954043286,14.37,749,509,49.93333333333333,818,129.6156222212798,430,595,364,59,7
0,1153,0.5599453260836793,13.62,325,92,21.666666666666668,436,30.80970780838558,310,717,272,35,3
0,1132,0.5810039043030404,19.17,1620,422,101.25,778,139.87780381461528,456,354,376,72,8
0,1432,0.40691504443418314,4.89,1055,791,117.22222222222223,952,254.37756277715303,202,480,184,16,2
0,1615,0.35909162705877284,7.93,1098,909,64.58823529411765,1086,218.0352777716055,317,529,285,30,2
0,1715,0.41950044735054115,6.53,345,64,31.363636363636363,366,25.656471804489126,273,1349,246,26,1
1,1723,0.5119976968706901,7.89,290,98,22.307692307692307,492,26.34193303266554,368,1231,325,41,2
0,1088,0.3485933042768216,6.43,226,60,20.545454545454547,268,20.636684018338006,210,820,180,28,2
0,1649,0.3942949498341799,6.55,418,131,52.25,409,33.05298776207682,262,1240,232,30,0
1,1003,0.38571149716962716,6.28,82,32,6.833333333333333,188,9.311120754075189,167,815,156,10,1
1,1943,0.3934775265989529,6.54,3112,1509,155.6,1651,451.6804179948473,333,292,296,34,3
0,1333,0.3970419048947148,12.98,877,499,32.48148148148148,822,96.97992273200373,360,511,310,45,5
0,1258,0.4256062662802216,10.33,290,98,22.307692307692307,415,27.74702571263154,294,843,262,30,2
0,1197,0.37618331501725566,11.7,322,69,10.0625,504,13.210302675343723,382,693,339,41,2
0,1907,0.4140946004737275,5.4,296,102,14.8,415,23.390506396264367,307,1492,272,33,2
0,2052,0.34181867300018576,7.21,576,432,26.181818181818183,800,91.36772190473289,432,1252,385,42,5
0,608,0.41807866288430573,7.57,469,117,22.333333333333332,257,37.202598475554545,115,351,108,7,0
0,1312,0.38378754146830807,9.07,326,70,29.636363636363637,416,29.890710019244196,335,896,290,43,2
0,1429,0.5252009781070848,7.63,1671,844,151.9090909090909,1021,288.5860199474169,300,408,265,31,4
0,1638,0.37035783297366676,11.48,442,291,55.25,704,96.42724866817618,457,934,401,53,3
0,1441,0.3589657218933962,13.67,570,288,31.666666666666668,597,71.30382383938218,409,844,333,68,8
0,1534,0.39489933894230766,4.69,279,57,34.875,336,20.03167135170845,219,1198,206,11,2
0,1626,0.4733142078054877,5.41,482,90,26.77777777777778,379,36.966686999410946,244,1247,217,26,1
0,1895,0.3780714998904123,6.02,259,61,14.38888888888889,377,20.13232369887639,308,1518,271,34,3
0,1308,0.42686882933709447,9.33,206,61,29.428571428571427,363,20.040435315108493,309,945,276,33,0
0,1888,0.41602505785164334,5.61,268,91,11.166666666666666,384,22.295772004471214,286,1504,266,20,0
0,1424,0.4093496806983383,9.41,2441,912,110.95454545454545,1385,262.38892929475935,355,39,302,50,3
0,1665,0.4673235108017717,8.29,881,394,58.733333333333334,706,104.77217914985602,290,959,266,20,4
0,1648,0.4324392376289561,9.16,109,35,5.45,400,8.450942021611057,361,1248,314,42,5
0,1637,0.4127961385016993,8.61,160,52,22.857142857142858,438,20.47297870713632,376,1199,333,41,2
0,1375,0.4077509081124714,8.07,454,107,16.814814814814813,420,26.564923427240604,291,955,250,36,5
0,1597,0.39895108450888384,6.26,1112,825,42.76923076923077,1021,160.52222467740913,274,576,254,19,1
0,1637,0.4805291267286811,8,856,665,57.06666666666667,918,168.8069339582381,340,719,310,26,4
0,1716,0.4249890811355619,5.54,363,140,45.375,458,50.35286202675787,249,1258,231,17,1
0,1636,0.4733259425069024,9.11,482,125,25.36842105263158,508,33.241892121431135,355,1128,310,41,4
1,1536,0.4154131666341082,6.38,423,139,42.3,486,48.63480692307151,293,1050,267,25,1
0,1605,0.47778592269989795,5.92,386,120,55.142857142857146,423,44.6632905618196,273,1182,246,27,0
0,1459,0.3970942010635604,6.85,366,102,21.529411764705884,366,32.699613237504096,237,1093,217,20,0
0,1676,0.42589813144596067,7.82,369,127,52.714285714285715,563,49.01603236259977,356,1113,331,25,0
0,1343,0.42064582617657165,8.94,206,72,22.88888888888889,372,29.293533605748404,307,971,271,34,2
1,1138,0.43766042712930553,5.8,337,84,37.44444444444444,248,30.692471027562732,141,890,132,9,0
0,1191,0.44282592862345227,8.56,323,87,9.228571428571428,355,17.00533776803748,249,836,208,36,5
0,1696,0.3717733323357163,3.6,285,73,35.625,320,33.26060518305187,189,1376,182,7,0
0,1689,0.4303665567521989,9.06,881,511,51.8235294117647,893,121.62813988450496,450,796,402,46,2
0,1683,0.4296041732272684,6.54,218,45,16.76923076923077,369,15.61064725411178,301,1314,274,25,2
0,1750,0.4359274891846155,5.94,250,95,27.77777777777778,405,36.47868479597975,257,1345,242,14,1
1,1659,0.3924253064573324,5.73,378,119,18,451,31.58797239456816,296,1208,260,35,1
0,1224,0.44834822061534096,5.56,484,119,37.23076923076923,334,38.57277504094014,185,890,167,16,2
1,1762,0.3782287337576937,7.95,803,441,50.1875,774,108.93742469876915,377,988,335,38,4
0,1240,0.5061373261871743,5.4,776,596,86.22222222222223,743,192.04932815410848,185,497,170,12,3
0,1922,0.3988147880756851,7.91,839,658,76.27272727272727,987,194.63611736216424,406,935,371,35,0
0,1682,0.3914964488245334,8.26,829,502,103.625,881,172.0489444481258,341,801,322,16,3
0,1316,0.4494016854424725,3.19,221,117,17,282,31.509257898803856,136,1034,129,7,0
0,1770,0.5455209760553272,7.85,338,75,37.55555555555556,407,27.322660517925,307,1363,278,26,3
1,1726,0.5078172018563347,8.34,485,112,37.30769230769231,549,34.819497927130364,387,1177,345,38,4
0,1687,0.42176029936971204,4.98,266,75,16.625,308,19.064364662899205,205,1379,178,21,6
0,1056,0.36515651281155115,8.43,241,72,15.0625,293,19.447257732989844,214,763,192,21,1
0,1455,0.36677777511330667,7.29,1376,1205,80.94117647058823,1321,290.0589316389506,270,134,243,25,2
0,1820,0.45856684710187895,6.98,1362,989,71.6842105263158,1213,223.50193949732142,339,607,312,26,1
0,1427,0.47808461301464267,11.77,184,56,12.266666666666667,374,14.892311854811274,318,1053,267,46,5
0,1239,0.6426955958670784,14.29,620,220,32.63157894736842,484,65.79193679599668,306,755,245,56,5
0,1203,0.663831106546656,13.8,1131,514,87,903,162.9509128541476,277,300,219,54,4
0,1206,0.4084453158624647,10.12,254,112,14.11111111111111,357,26.67426362374941,265,849,235,28,2
1,926,0.39259508834980533,10.69,325,70,18.055555555555557,349,23.585818825582518,243,577,208,33,2
0,1483,0.3676153413353338,10.52,856,524,45.05263157894737,922,120.55126787858559,431,561,375,51,5
0,1503,0.5762013483698869,10.05,377,142,47.125,506,54.420157767398756,315,997,281,33,1
0,1400,0.4408308145903165,6.36,311,65,22.214285714285715,293,24.106107018853038,209,1107,180,25,4
0,1602,0.4344740305032826,3.87,189,79,13.5,277,24.5349044926109,192,1325,181,11,0
0,1747,0.45691357533829,4.12,963,721,40.125,931,146.11916295479077,207,816,191,15,1
0,1814,0.43110028368974773,4.96,407,94,16.28,312,30.061769741650274,213,1502,181,28,4
0,1709,0.4396807082177824,2.98,336,77,48,298,28.821288428289716,168,1411,158,8,2
0,800,0.32901132141965606,10.5,909,393,37.875,737,100.23420942537749,208,63,181,25,2
0,1718,0.39231047851575596,5.3,301,80,27.363636363636363,369,23.82969881166242,242,1349,226,15,1
0,1874,0.41478104659604054,5.18,300,92,30,342,33.555923471125034,238,1532,217,20,1
0,1672,0.4322113459706479,7.06,427,115,28.466666666666665,465,39.065634636132685,299,1207,265,34,0
0,1062,0.42833984311250856,6.97,363,93,17.285714285714285,296,24.930188240650846,189,766,172,15,2
0,1735,0.44252800704596557,7.84,859,423,53.6875,757,107.36586592891926,289,978,262,22,5
0,1812,0.4417997503884262,4.97,402,151,44.666666666666664,501,43.96873889481025,322,1311,290,31,1
0,1397,0.5258361425077666,9.88,234,49,15.6,394,19.01052340152685,320,1003,289,28,3
1,1581,0.41253537976715005,7.15,327,91,12.576923076923077,446,19.185771971798427,314,1135,285,28,1
0,1546,0.682514242309153,13.91,2447,1033,188.23076923076923,1532,319.0977263697737,450,14,358,86,6
0,1439,0.49199204438396316,16.26,651,469,40.6875,851,114.7343126531902,534,588,465,68,1
0,1577,0.4520973399590763,7.29,148,51,9.866666666666667,331,12.938683233216734,287,1246,262,23,2
0,1717,0.49066930565092703,6.17,487,110,22.136363636363637,427,29.74061749534345,268,1290,238,28,2
1,1406,0.4120669213542353,4.98,802,562,61.69230769230769,773,153.83995179806436,195,633,179,16,0
0,1864,0.3787495124472979,5.74,269,72,6.255813953488372,442,13.73922612233866,323,1422,304,19,0
0,1631,0.4205959455353547,7.36,209,86,19,352,23.983327542274026,281,1279,249,29,3
0,1216,0.45158168396682924,5.02,260,46,20,279,18.133762249829275,218,937,202,16,0
1,1727,0.4403620126944717,5.21,321,105,40.125,390,38.73144717151684,229,1337,215,14,0
1,1540,0.42183414619528165,7.47,248,62,27.555555555555557,368,21.46573496942925,284,1172,259,21,4
0,1639,0.5573957536071661,13.54,953,726,73.3076923076923,989,197.50079519476398,397,650,330,58,9
0,1142,0.6288765911476646,13.92,155,64,22.142857142857142,344,28.72529994870127,295,798,245,46,4
1,1591,0.5624079248158496,13.14,168,63,21,435,22.627416997969522,385,1156,336,43,6
0,1495,0.5788511789958315,16.12,967,849,69.07142857142857,1073,224.70954390252123,446,422,378,67,1
0,1557,0.4347654798186278,5.52,858,299,78,557,98.97171313057079,250,1e3,232,17,1
0,1084,0.4626539425281228,8.3,492,117,32.8,348,30.868846986658156,225,736,197,26,2
0,1155,0.4122232994021651,10.74,1349,470,89.93333333333334,759,144.05577623499403,345,396,294,50,1
0,1637,0.4599830616133813,14.48,533,95,21.32,746,22.382508051303514,584,891,484,93,7
0,1286,0.6252921947069097,16.72,134,78,26.8,428,30.111459612579395,375,858,306,63,6
0,1867,0.49449035812672176,7.55,333,81,30.272727272727273,418,32.567133460256855,291,1449,262,28,1
0,1617,0.4333563511329741,5.94,130,29,10.833333333333334,326,10.232153717422824,287,1291,259,25,3
0,1998,0.5770880923943924,11.21,1112,868,79.42857142857143,1192,227.95435247695275,490,806,434,52,4
0,1565,0.38980131270232543,9.97,1215,535,41.89655172413793,843,133.94117707507337,418,722,355,59,4
0,1591,0.4905593814539067,8.3,2175,834,181.25,1295,313.0724937832073,345,296,314,28,3
0,1013,0.4610024673307137,15.89,256,68,11.130434782608695,416,14.814932110500378,331,597,274,56,1
0,995,0.39462882197914967,9.15,558,302,25.363636363636363,478,63.63552875148064,207,517,190,15,2
0,1476,0.4346545617328066,8.67,774,410,55.285714285714285,683,107.07612573910538,319,793,298,20,1
0,775,0.40726325559114995,5.94,399,248,26.6,333,62.94532775126591,117,442,108,9,0
0,1611,0.3789634953930742,6.52,352,87,14.08,438,19.18966735858997,317,1173,296,19,2
0,2224,0.40915751870876904,6.21,1403,1106,70.15,1360,244.54539455896526,389,864,351,35,3
0,1896,0.4489562482127538,9.7,327,66,13.625,583,17.797929777022553,472,1313,411,58,3
0,1605,0.39744384706852154,2.06,2102,856,175.16666666666666,1330,246.4474250896798,117,275,111,6,0
0,1263,0.34470911167606205,4.12,1037,390,51.85,572,106.51922238188799,185,691,169,16,0
0,1583,0.41621370465155727,9.48,1827,877,79.43478260869566,1121,224.3697893468314,377,462,327,47,3
0,796,0.39582849174994195,8.79,254,44,7.9375,242,11.68935965022285,172,554,146,21,5
0,1335,0.37598547717842323,6.44,235,45,10.681818181818182,350,12.483842371093939,276,985,259,16,1
0,755,0.33536117000030724,5.17,373,100,14.92,231,24.2932089275995,109,524,96,13,0
0,1673,0.41421354084101264,6.75,352,67,44,371,18.83006714197877,269,1302,245,24,0
1,1197,0.4555482574762383,7.18,392,97,18.666666666666668,368,29.305858344933924,264,829,233,30,1
0,1743,0.42773113701773235,3.44,768,522,85.33333333333333,708,165.42596531379226,182,1035,172,10,0
0,1714,0.4304918561956127,5.37,234,53,13.764705882352942,362,17.774734216594865,279,1352,246,31,2
0,1164,0.4560293534311781,6.62,325,67,10.833333333333334,307,16.760140179920175,172,857,153,19,0
0,924,0.4121067671612364,4,148,86,18.5,201,30.05233530264923,119,723,108,11,0
0,1751,0.47344174690192103,6.34,120,40,15,324,11.326328367379885,263,1427,238,23,2
0,1822,0.49789867953275774,11.42,274,71,24.90909090909091,480,26.87547039757461,416,1342,366,47,3
0,969,0.3563772073114023,7.02,343,248,38.111111111111114,390,79.36536468202682,175,579,159,15,1
0,1507,0.5008820662013896,13.93,1336,1132,74.22222222222223,1343,264.60904692095903,418,164,367,47,4
0,1558,0.5271173490204224,11.17,133,29,8.866666666666667,366,8.895156520478407,326,1192,274,46,6
0,1305,0.5150212304795068,12.8,518,125,24.666666666666668,469,35.81526676339761,341,836,289,49,3
0,1771,0.45224139731606705,7.45,397,94,56.714285714285715,464,38.356721643515044,317,1307,297,18,2
